atom_1,atom_2,pair,count,r2_avg,r2,min_distance,max_distance,r2_avg_ratio,r2_ratio
O2',C5',C-C,48,0.694,0.184,12.6,15.115,0.2,0.041
N6,O4',A-C,47,0.175,0.184,5.036666666666666,10.69,0.176,0.024
O2',C5',A-A,114,0.168,0.183,12.265,17.845,0.062,0.334
C8,N1,A-G,94,0.074,0.183,5.23,9.61,0.053,0.177
O3',N1,A-A,114,0.213,0.183,7.3675,11.145,0.114,0.35
C2,N3,A-G,94,0.204,0.183,4.12,6.8,0.19,0.184
C4,P,C-A,47,0.185,0.183,10.65,12.98,0.001,0.005
C5,C1',A-C,47,0.164,0.183,6.243333333333333,10.31,0.23,0.036
O5',C5,A-C,47,0.272,0.183,10.04,13.76,0.047,0.028
C3',O1P,C-A,47,0.024,0.182,14.123333333333335,19.19,0.068,0.005
C4',O5',C-C,48,0.675,0.182,14.489999999999998,16.27,0.077,0.056
N9,C3',A-A,114,0.184,0.181,9.54,14.055,0.115,0.096
C5',O3',C-A,47,0.181,0.179,13.34,16.84,0.006,0.002
N6,N1,A-A,114,0.176,0.179,3.54,8.32,0.236,0.314
C5,C2',A-C,47,0.14,0.179,5.993333333333333,11.14,0.212,0.034
P,C8,A-A,114,0.197,0.178,10.442499999999999,16.2575,0.294,0.095
C2,C4,C-A,47,0.452,0.178,5.89,7.56,0.259,0.055
O4',C1',C-A,47,0.102,0.178,10.29,12.53,0.005,0.0
C5',O2P,A-C,47,0.257,0.178,13.08,17.951,0.015,0.003
N1,P,A-A,114,0.258,0.178,8.205,12.356666666666667,0.296,0.35
N3,C4,A-G,94,0.11,0.178,5.645,8.25,0.124,0.192
N1,O3',A-C,47,0.147,0.177,6.533333333333334,10.79,0.219,0.038
C6,C3',A-C,47,0.157,0.177,6.263333333333333,10.86,0.197,0.029
O2P,C4,A-C,47,0.376,0.177,9.28,12.55,0.021,0.0
C3',P,C-C,48,0.502,0.177,15.04,16.5725,0.094,0.083
C4',C1',C-A,47,0.063,0.177,11.42,13.65,0.035,0.002
N7,N1,A-G,94,0.054,0.176,4.15,9.13,0.041,0.175
C1',P,C-C,48,0.638,0.176,13.530000000000001,15.105,0.072,0.083
N4,O1P,C-A,47,0.285,0.175,10.35,14.085,0.051,0.022
N7,N1,A-C,47,0.187,0.175,6.69,10.3,0.204,0.023
C2,O5',A-A,114,0.261,0.175,8.3525,11.95,0.198,0.342
C4,N4,A-C,47,0.111,0.175,4.1,10.346666666666666,0.107,0.02
N3,C4,C-A,47,0.135,0.174,5.42,8.14,0.002,0.001
N4,C6,C-A,47,0.081,0.174,3.64,8.666666666666666,0.009,0.0
C2,O2,A-C,47,0.173,0.174,3.41,7.73,0.176,0.075
C6,O2',A-C,47,0.118,0.174,3.99,12.2,0.174,0.028
N6,O2',A-C,47,0.12,0.173,3.1333333333333333,13.25,0.144,0.021
C6,C8,A-G,94,0.191,0.173,6.664285714285713,9.18,0.199,0.189
P,O2P,C-A,47,0.115,0.173,14.616666666666667,19.09,0.012,0.0
C5',O2P,C-A,47,0.05,0.172,13.493333333333334,18.71,0.039,0.002
P,N7,C-A,47,0.105,0.172,10.67,14.26,0.011,0.0
O1P,C5',C-A,47,0.131,0.171,15.06,20.15,0.0,0.003
O4',O5',C-C,48,0.728,0.171,13.565000000000001,15.280000000000001,0.054,0.053
C5,N1,A-A,114,0.124,0.171,4.79,7.775,0.216,0.267
C2',O1P,A-A,114,0.225,0.171,13.722499999999998,18.445,0.187,0.332
C1',P,C-A,47,0.017,0.171,11.069999999999999,16.41,0.069,0.005
N6,O3',A-C,47,0.139,0.171,5.796666666666667,13.04,0.137,0.017
O4',N1,A-C,47,0.269,0.17,9.55,11.68,0.0,0.006
C1',O2P,A-G,94,0.194,0.17,13.105,17.180000000000003,0.169,0.183
N7,N4,A-C,47,0.143,0.17,5.75,8.413333333333334,0.014,0.004
C2,N1,A-C,47,0.201,0.17,5.4399999999999995,7.883333333333333,0.041,0.015
O2P,O5',A-A,114,0.223,0.17,13.0625,19.71166666666667,0.377,0.081
N3,O5',A-A,114,0.25,0.17,9.225,13.21,0.199,0.337
O2',N1,C-C,48,0.808,0.17,8.9325,11.115,0.106,0.059
C8,O2P,A-C,47,0.288,0.169,10.15,14.02,0.009,0.002
C2',C4,A-A,114,0.192,0.169,7.98,11.71,0.081,0.331
O2',O4',A-A,114,0.143,0.169,10.795,15.91,0.047,0.311
N3,N6,C-A,47,0.356,0.169,2.775,9.07,0.232,0.082
O4',O3',A-A,114,0.157,0.169,11.9225,17.175,0.074,0.096
N3,C4,A-C,47,0.115,0.169,4.02,10.323333333333332,0.09,0.013
O2',C4',C-C,48,0.721,0.168,11.219999999999999,14.235,0.174,0.024
C4,C4,A-C,47,0.103,0.167,5.23,9.443333333333333,0.058,0.01
O2',C1',C-C,48,0.765,0.167,9.1025,11.95,0.12,0.03
O3',C8,A-A,114,0.145,0.167,9.6375,15.309999999999999,0.128,0.309
C5,O5',A-C,47,0.259,0.167,9.92,13.06,0.205,0.033
O3',C1',A-C,47,0.287,0.167,10.46,13.44,0.005,0.002
O2',C2,C-C,48,0.713,0.165,7.7525,9.739999999999998,0.063,0.075
N3,N4,A-C,47,0.106,0.165,2.99,11.316666666666668,0.129,0.022
C6,N3,A-C,47,0.148,0.164,3.26,7.82,0.143,0.054
C3',O1P,C-C,48,0.517,0.164,16.185,17.865,0.11,0.07
O1P,C8,A-A,114,0.208,0.164,11.495000000000001,17.4925,0.279,0.081
C4',N1,A-C,47,0.246,0.164,9.9,12.53,0.003,0.007
N1,O5',C-C,48,0.688,0.164,11.375,13.005,0.017,0.06
O1P,C5,C-A,47,0.123,0.163,9.8,14.25,0.0,0.002
O3',O5',C-A,47,0.009,0.163,12.996666666666668,17.86,0.101,0.008
N3,C3',A-C,47,0.343,0.163,8.43,10.3,0.365,0.056
